review,sentiment
Pathetic Waste of money,0
"A very small beautiful place
I really loved it
Everything was so beautiful that I loved every bit of it I visited Church Street Lasagna was OMG",1
very bad taste,0
good,1
"I ordered a walnut brownie but I got a chocolate brownie
Please revert",0
"Best places for ur Sunday breakfast s
Always crowded need to wait few min s
Scrumptious food
Homely environment
It has become my Sunday BF adDa now",1
I had the Thai curry ate it all so I dont have evidence the tiramisu is okay can be better Cozy nice place Good music Nice location,1
Its very calm and peaceful place it will be a good choice for date ambiance is good I loved coffee over here Italian dishes are delicious,1
"the quantity of masala Maggi was very less 
paying 60 RS and getting 20rs Maggi not fair",0
Ordered Lychee mojitobbq chickenboth were just yumwould visit the cafe soon 45 stars for the food 5 stars for the delivery,1
Difficult to find taste in any of the food hereI will not recommend it for sure,0
Most of the foods were really tasty although I feel they were a little overpriced The ambience was average but the service was really good,1
A cosy nice coffee place I loved the fries and the chicken slider Just too good to be true Keep up the good work will come back for more,1
writing review is waste,0
non veg smell in veg food,0
Mazo ayo  ,1
Pepsi I got the small sizeand I had ordered for the medium size,0
peri peri fries were not as usual,0
"This place is the go for the Sweet tooth  Perfect ambience less crowd and food served at time What more to ask for
Ambience 45
Taste  45",1
quantity was very less the box was half filled,1
received wrong order,0
Food and drinks are good Pizza was too delicious But the place lacks peoper ambience and service is a bit slow Otherwise its a good place to hit,1
,1
Loved the ambianceVery cosy and comfortable Might work on the food a bit but overall its a nice place A perfect hangout place for friends,1
The burger didnt contained cheese at all,0
The pesto was really bitter and the pasta wasnt worth the price,0
dint get what was ordered and got less in quantity have ordered many times,0
Got a different order,0
awesome food and great delivery,1
Why not delivering in roopena agrahara near to silk board side  You will more consumers from here  kindly reply we are looking to hear from you,0
awesome food and great delivery,1
good,1
taste and even the packing of the food is good,1
Spaghetti Not edible,0
good,1
the choco lava cake was cold very disappointing,0
Visited this cafe just for snacks  Nice place good service the bluberry cold coffee was too good  Had basket of fry It was tasty and filling,1
Ur food was delivered cold for me,0
Healthy food clean and peacefully tucked away from the main road Friendly staff,1
food quality is very bad please never order pizza from this place,0
Mostly crowded with youths and chill out place cheap not that costly hookah is good pocket friendly and all college crowd no id required mostly,1
too bad taste,0
good food,1
moderate,0
Mouth watering pizza Very affordable with zomato gold Dedicated staff is present Would love to visit this place again Nice ambience,1
I ordered Large but you guys gave me medium and regular pizza this not fair,0
writing review is waste,0
The Ice cream wasnt even cold it was warm,0
Amazing foodswaaaad hi aa gayamazza aa gaya malaysian noodles were the best Tarmarind sauce was amazingi love vaho kafe,1
Thank you for an amazing customer service,1
Its not at all walnut brownie,0
peri peri fries were not as usual,0
The pasta wasnt great The sandwich was awesome,1
quality packing of foodOn point taste,1
The breakfast was good the service was nice the price is ok the zomato gold works good and saves u a lot of money over all a good experience,1
dont ever order pizza from here,0
taste good,1
Really a great place for English breakfast and u get great snacks liked the ambiancegood service will surely recommend people to try this place,1
Pizza can be improved ,1
good,1
order not delivered,0
Pepsi I got the small sizeand I had ordered for the medium size,0
Disappointing place for a Hookah parlour Needs a serious makeover with menu and ambience Food seems pretty OK but the portions are very small,0
"Perfect place for small budget eatouts
A tiny but cosy place Loved the food
No much options under drinks Only alcohol they serve is beer",1
It was non spicy,0
,0
